This is tfFromAbegg converting dss transcriptions to TF:
source version = 1.0
target version = 0.3
Run started: 2019-05-09T11:29:45.688150

                     => 
0                    => sp=unknown
uc0s0                => sp=numr cl=card gn=unknown nu=s st=unknown
ucbpa                => sp=numr cl=card gn=b nu=p st=a
ucbpcX3mp            => sp=suff cl=card gn=b nu=p st=c ps2=3 gn2=m nu2=p
ucbsa                => sp=numr cl=card gn=b nu=s st=a
ucbsc                => sp=numr cl=card gn=b nu=s st=c
uccp                 => sp=numr cl=card gn=c nu=p
uccpa                => sp=numr cl=card gn=c nu=p st=a
uccs                 => sp=numr cl=card gn=c nu=s
uccsa                => sp=numr cl=card gn=c nu=s st=a
uccsc                => sp=numr cl=card gn=c nu=s st=c
uccsd                => sp=numr cl=card gn=c nu=s st=d
ucfda                => sp=numr cl=card gn=f nu=d st=a
ucfdc                => sp=numr cl=card gn=f nu=d st=c
ucfdcX3mp            => sp=suff cl=card gn=f nu=d st=c ps2=3 gn2=m nu2=p
ucfpa                => sp=numr cl=card gn=f nu=p st=a
